market,variety,arrival_date,arrivals_mt,minimum_price,maximum_price,modal_price,lag_1,lag_7,rolling_mean_7,rolling_mean_14,rolling_std_7,rolling_std_14,price_change_1,price_change_7,price_vs_rolling_7,price_vs_rolling_14,month,day_of_week,target_date,target_modal_price_7d
Rajahmundry APMC,Swarna Masuri (New),2021-01-20,0.5,1888.0,1888.0,1888.0,1888.0,1888.0,1888.0,1888.0,0.0,0.0,0.0,0.0,1.0,1.0,1,2,2021-01-27,1888.0
Rajahmundry APMC,Paddy,2021-01-21,0.5,1868.0,1868.0,1868.0,1868.0,1868.0,1868.0,1868.0,0.0,0.0,0.0,0.0,1.0,1.0,1,3,2021-01-28,1868.0
Rajahmundry APMC,Swarna Masuri (New),2021-01-21,0.5,1888.0,1888.0,1888.0,1888.0,1888.0,1888.0,1888.0,0.0,0.0,0.0,0.0,1.0,1.0,1,3,2021-01-28,1888.0
Atmakur (Nandyal District) APMC,Sona Mahsuri,2021-01-21,0.01,1800.0,1800.0,1800.0,1800.0,1800.0,1800.0,1800.0,0.0,0.0,0.0,0.0,1.0,1.0,1,3,2021-01-28,1800.0
Banaganapalli APMC,Sona Mahsuri,2021-01-21,1.0,1900.0,2050.0,1950.0,1950.0,2000.0,1971.4285714285716,1978.571428571429,26.726124191242494,25.677629550654668,0.0,-50.0,0.9891304347826088,0.9855595667870036,1,3,2021-01-28,2000.0
Atmakur (Nandyal District) APMC,Sona Mahsuri,2021-01-22,0.01,1800.0,1800.0,1800.0,1800.0,1800.0,1800.0,1800.0,0.0,0.0,0.0,0.0,1.0,1.0,1,4,2021-01-29,1800.0
Banaganapalli APMC,Sona Mahsuri,2021-01-22,1.0,1950.0,2050.0,2000.0,1950.0,2000.0,1964.2857142857144,1978.571428571429,24.397501823713355,25.677629550654668,50.0,0.0,1.0181818181818183,1.0108303249097472,1,4,2021-01-29,2000.0
Rajahmundry APMC,Paddy,2021-01-22,0.5,1868.0,1868.0,1868.0,1868.0,1868.0,1868.0,1868.0,0.0,0.0,0.0,0.0,1.0,1.0,1,4,2021-01-29,1868.0
Rajahmundry APMC,Swarna Masuri (New),2021-01-22,0.5,1888.0,1888.0,1888.0,1888.0,1888.0,1888.0,1888.0,0.0,0.0,0.0,0.0,1.0,1.0,1,4,2021-01-29,1888.0
Atmakur (Nandyal District) APMC,Sona Mahsuri,2021-01-23,0.01,1800.0,1800.0,1800.0,1800.0,1800.0,1800.0,1800.0,0.0,0.0,0.0,0.0,1.0,1.0,1,5,2021-01-30,1800.0
Banaganapalli APMC,Sona Mahsuri,2021-01-23,1.0,1950.0,2050.0,2000.0,2000.0,2000.0,1964.2857142857144,1982.142857142857,24.397501823713355,24.86225790494221,0.0,0.0,1.0181818181818183,1.009009009009009,1,5,2021-01-30,2000.0
Rajahmundry APMC,Paddy,2021-01-23,0.5,1868.0,1868.0,1868.0,1868.0,1868.0,1868.0,1868.0,0.0,0.0,0.0,0.0,1.0,1.0,1,5,2021-01-30,1868.0
Rajahmundry APMC,Swarna Masuri (New),2021-01-23,0.5,1888.0,1888.0,1888.0,1888.0,1888.0,1888.0,1888.0,0.0,0.0,0.0,0.0,1.0,1.0,1,5,2021-01-30,1888.0
Atmakur (Nandyal District) APMC,Sona Mahsuri,2021-01-24,0.01,1800.0,1800.0,1800.0,1800.0,1800.0,1800.0,1800.0,0.0,0.0,0.0,0.0,1.0,1.0,1,6,2021-01-31,1800.0
Banaganapalli APMC,Sona Mahsuri,2021-01-24,1.0,1950.0,2050.0,2000.0,2000.0,1950.0,1964.2857142857144,1982.142857142857,24.397501823713355,24.86225790494221,0.0,50.0,1.0181818181818183,1.009009009009009,1,6,2021-01-31,2000.0
Rajahmundry APMC,Paddy,2021-01-24,0.5,1868.0,1868.0,1868.0,1868.0,1868.0,1868.0,1868.0,0.0,0.0,0.0,0.0,1.0,1.0,1,6,2021-01-31,1868.0
Rajahmundry APMC,Swarna Masuri (New),2021-01-24,0.5,1888.0,1888.0,1888.0,1888.0,1888.0,1888.0,1888.0,0.0,0.0,0.0,0.0,1.0,1.0,1,6,2021-01-31,1888.0
Rajahmundry APMC,Swarna Masuri (New),2021-01-25,0.5,1888.0,1888.0,1888.0,1888.0,1888.0,1888.0,1888.0,0.0,0.0,0.0,0.0,1.0,1.0,1,0,2021-02-01,1888.0
Rajahmundry APMC,Paddy,2021-01-25,0.5,1868.0,1868.0,1868.0,1868.0,1868.0,1868.0,1868.0,0.0,0.0,0.0,0.0,1.0,1.0,1,0,2021-02-01,1868.0
Atmakur (Nandyal District) APMC,Sona Mahsuri,2021-01-25,0.01,1800.0,1800.0,1800.0,1800.0,1800.0,1800.0,1800.0,0.0,0.0,0.0,0.0,1.0,1.0,1,0,2021-02-05,1800.0
Banaganapalli APMC,Sona Mahsuri,2021-01-25,1.0,1900.0,2050.0,1970.0,2000.0,1950.0,1971.4285714285716,1982.142857142857,26.726124191242494,24.86225790494221,-30.0,20.0,0.9992753623188406,0.993873873873874,1,0,2021-02-01,2000.0
Atmakur (Nandyal District) APMC,Sona Mahsuri,2021-01-26,0.01,1800.0,1800.0,1800.0,1800.0,1800.0,1800.0,1800.0,0.0,0.0,0.0,0.0,1.0,1.0,1,1,2021-02-05,1800.0
Banaganapalli APMC,Sona Mahsuri,2021-01-26,1.0,1900.0,2050.0,1970.0,1970.0,1950.0,1974.2857142857144,1980.0,25.07132682112041,24.494897427831663,0.0,20.0,0.9978292329956584,0.9949494949494948,1,1,2021-02-02,2000.0
Rajahmundry APMC,Paddy,2021-01-26,0.5,1868.0,1868.0,1868.0,1868.0,1868.0,1868.0,1868.0,0.0,0.0,0.0,0.0,1.0,1.0,1,1,2021-02-02,1868.0
Rajahmundry APMC,Swarna Masuri (New),2021-01-26,0.5,1888.0,1888.0,1888.0,1888.0,1888.0,1888.0,1888.0,0.0,0.0,0.0,0.0,1.0,1.0,1,1,2021-02-02,1888.0
Atmakur (Nandyal District) APMC,Sona Mahsuri,2021-01-27,0.01,1800.0,1800.0,1800.0,1800.0,1800.0,1800.0,1800.0,0.0,0.0,0.0,0.0,1.0,1.0,1,2,2021-02-05,1800.0
Banaganapalli APMC,Sona Mahsuri,2021-01-27,1.0,1900.0,2050.0,1970.0,1970.0,1950.0,1977.142857142857,1977.857142857143,22.886885410853257,23.916062008157144,0.0,20.0,0.9963872832369942,0.996027446731672,1,2,2021-02-03,2000.0
Rajahmundry APMC,Paddy,2021-01-27,0.5,1868.0,1868.0,1868.0,1868.0,1868.0,1868.0,1868.0,0.0,0.0,0.0,0.0,1.0,1.0,1,2,2021-02-03,1868.0
Rajahmundry APMC,Swarna Masuri (New),2021-01-27,0.5,1888.0,1888.0,1888.0,1888.0,1888.0,1888.0,1888.0,0.0,0.0,0.0,0.0,1.0,1.0,1,2,2021-02-03,1888.0
Rajahmundry APMC,Swarna Masuri (New),2021-01-28,0.5,1888.0,1888.0,1888.0,1888.0,1888.0,1888.0,1888.0,0.0,0.0,0.0,0.0,1.0,1.0,1,3,2021-02-04,1888.0
Rajahmundry APMC,Paddy,2021-01-28,0.5,1868.0,1868.0,1868.0,1868.0,1868.0,1868.0,1868.0,0.0,0.0,0.0,0.0,1.0,1.0,1,3,2021-02-04,1868.0
Banaganapalli APMC,Sona Mahsuri,2021-01-28,1.0,1900.0,2100.0,2000.0,1970.0,1950.0,1980.0,1975.7142857142856,20.000000000000103,23.109866595589228,30.0,50.0,1.0101010101010102,1.0122921185827911,1,3,2021-02-04,2000.0
Atmakur (Nandyal District) APMC,Sona Mahsuri,2021-01-28,0.01,1800.0,1800.0,1800.0,1800.0,1800.0,1800.0,1800.0,0.0,0.0,0.0,0.0,1.0,1.0,1,3,2021-02-05,1800.0
Atmakur (Nandyal District) APMC,Sona Mahsuri,2021-01-29,0.01,1800.0,1800.0,1800.0,1800.0,1800.0,1800.0,1800.0,0.0,0.0,0.0,0.0,1.0,1.0,1,4,2021-02-05,1800.0
Banaganapalli APMC,Sona Mahsuri,2021-01-29,1.0,1900.0,2100.0,2000.0,2000.0,2000.0,1987.142857142857,1975.7142857142856,16.035674514745704,23.109866595589228,0.0,0.0,1.00647016534867,1.0122921185827911,1,4,2021-02-05,2000.0
Rajahmundry APMC,Paddy,2021-01-29,0.5,1868.0,1868.0,1868.0,1868.0,1868.0,1868.0,1868.0,0.0,0.0,0.0,0.0,1.0,1.0,1,4,2021-02-05,1868.0
Rajahmundry APMC,Swarna Masuri (New),2021-01-29,0.5,1888.0,1888.0,1888.0,1888.0,1888.0,1888.0,1888.0,0.0,0.0,0.0,0.0,1.0,1.0,1,4,2021-02-05,1888.0
Atmakur (Nandyal District) APMC,Sona Mahsuri,2021-01-30,0.01,1800.0,1800.0,1800.0,1800.0,1800.0,1800.0,1800.0,0.0,0.0,0.0,0.0,1.0,1.0,1,5,2021-02-06,1800.0
Banaganapalli APMC,Sona Mahsuri,2021-01-30,1.0,1900.0,2100.0,2000.0,2000.0,2000.0,1987.142857142857,1975.7142857142856,16.035674514745704,23.109866595589228,0.0,0.0,1.00647016534867,1.0122921185827911,1,5,2021-02-06,2000.0
Rajahmundry APMC,Paddy,2021-01-30,0.5,1868.0,1868.0,1868.0,1868.0,1868.0,1868.0,1868.0,0.0,0.0,0.0,0.0,1.0,1.0,1,5,2021-02-06,1868.0
Rajahmundry APMC,Swarna Masuri (New),2021-01-30,0.5,1888.0,1888.0,1888.0,1888.0,1888.0,1888.0,1888.0,0.0,0.0,0.0,0.0,1.0,1.0,1,5,2021-02-06,1888.0
Rajahmundry APMC,Paddy,2021-01-31,0.5,1868.0,1868.0,1868.0,1868.0,1868.0,1868.0,1868.0,0.0,0.0,0.0,0.0,1.0,1.0,1,6,2021-02-07,1868.0
Rajahmundry APMC,Swarna Masuri (New),2021-01-31,0.5,1888.0,1888.0,1888.0,1888.0,1888.0,1888.0,1888.0,0.0,0.0,0.0,0.0,1.0,1.0,1,6,2021-02-07,1888.0
Atmakur (Nandyal District) APMC,Sona Mahsuri,2021-01-31,0.01,1800.0,1800.0,1800.0,1800.0,1800.0,1800.0,1800.0,0.0,0.0,0.0,0.0,1.0,1.0,1,6,2021-02-12,1800.0
Banaganapalli APMC,Sona Mahsuri,2021-01-31,1.0,1900.0,2050.0,2000.0,2000.0,2000.0,1987.142857142857,1975.7142857142856,16.035674514745704,23.109866595589228,0.0,0.0,1.00647016534867,1.0122921185827911,1,6,2021-02-07,2000.0
Rajahmundry APMC,Swarna Masuri (New),2021-02-01,0.5,1888.0,1888.0,1888.0,1888.0,1888.0,1888.0,1888.0,0.0,0.0,0.0,0.0,1.0,1.0,2,0,2021-02-08,1888.0
Rajahmundry APMC,Paddy,2021-02-01,0.5,1868.0,1868.0,1868.0,1868.0,1868.0,1868.0,1868.0,0.0,0.0,0.0,0.0,1.0,1.0,2,0,2021-02-08,1868.0
Banaganapalli APMC,Sona Mahsuri,2021-02-01,1.0,1900.0,2100.0,2000.0,2000.0,1970.0,1987.142857142857,1979.2857142857144,16.035674514745704,22.689979392567967,0.0,30.0,1.00647016534867,1.010465535907615,2,0,2021-02-08,2000.0
Banaganapalli APMC,Sona Mahsuri,2021-02-02,1.0,1900.0,2100.0,2000.0,2000.0,1970.0,1991.4285714285716,1982.857142857143,14.63850109422833,21.63635524139543,0.0,30.0,1.0043041606886658,1.0086455331412103,2,1,2021-02-09,2000.0
Rajahmundry APMC,Paddy,2021-02-02,0.5,1868.0,1868.0,1868.0,1868.0,1868.0,1868.0,1868.0,0.0,0.0,0.0,0.0,1.0,1.0,2,1,2021-02-09,1868.0
Rajahmundry APMC,Swarna Masuri (New),2021-02-02,0.5,1888.0,1888.0,1888.0,1888.0,1888.0,1888.0,1888.0,0.0,0.0,0.0,0.0,1.0,1.0,2,1,2021-02-09,1888.0
Banaganapalli APMC,Sona Mahsuri,2021-02-03,1.0,1900.0,2100.0,2000.0,2000.0,1970.0,1995.7142857142856,1986.4285714285716,11.33893419027726,19.84832597364405,0.0,30.0,1.0021474588403725,1.00683207479324,2,2,2021-02-10,2050.0
Rajahmundry APMC,Paddy,2021-02-03,0.5,1868.0,1868.0,1868.0,1868.0,1868.0,1868.0,1868.0,0.0,0.0,0.0,0.0,1.0,1.0,2,2,2021-02-12,1863.0
Rajahmundry APMC,Swarna Masuri (New),2021-02-03,0.5,1888.0,1888.0,1888.0,1888.0,1888.0,1888.0,1888.0,0.0,0.0,0.0,0.0,1.0,1.0,2,2,2021-02-12,1888.0
Banaganapalli APMC,Sona Mahsuri,2021-02-04,1.0,1900.0,2100.0,2000.0,2000.0,2000.0,2000.0,1990.0,0.0,17.097008285301825,0.0,0.0,1.0,1.0050251256281406,2,3,2021-02-11,2050.0
Rajahmundry APMC,Paddy,2021-02-04,0.5,1868.0,1868.0,1868.0,1868.0,1868.0,1868.0,1868.0,0.0,0.0,0.0,0.0,1.0,1.0,2,3,2021-02-12,1863.0
Rajahmundry APMC,Swarna Masuri (New),2021-02-04,0.5,1888.0,1888.0,1888.0,1888.0,1888.0,1888.0,1888.0,0.0,0.0,0.0,0.0,1.0,1.0,2,3,2021-02-12,1888.0
Rajahmundry APMC,Paddy,2021-02-05,0.5,1868.0,1868.0,1868.0,1868.0,1868.0,1868.0,1868.0,0.0,0.0,0.0,0.0,1.0,1.0,2,4,2021-02-12,1863.0
Rajahmundry APMC,Swarna Masuri (New),2021-02-05,0.5,1888.0,1888.0,1888.0,1888.0,1888.0,1888.0,1888.0,0.0,0.0,0.0,0.0,1.0,1.0,2,4,2021-02-12,1888.0
Atmakur (Nandyal District) APMC,Sona Mahsuri,2021-02-05,0.01,1800.0,1800.0,1800.0,1800.0,1800.0,1800.0,1800.0,0.0,0.0,0.0,0.0,1.0,1.0,2,4,2021-02-12,1800.0
Banaganapalli APMC,Sona Mahsuri,2021-02-05,1.0,1900.0,2100.0,2000.0,2000.0,2000.0,2000.0,1993.571428571429,0.0,12.774459408789022,0.0,0.0,1.0,1.0032246506628448,2,4,2021-02-12,2050.0
Atmakur (Nandyal District) APMC,Sona Mahsuri,2021-02-06,0.01,1800.0,1800.0,1800.0,1800.0,1800.0,1800.0,1800.0,0.0,0.0,0.0,0.0,1.0,1.0,2,5,2021-02-13,1800.0
Banaganapalli APMC,Sona Mahsuri,2021-02-06,1.0,1900.0,2100.0,2000.0,2000.0,2000.0,2000.0,1993.571428571429,0.0,12.774459408789022,0.0,0.0,1.0,1.0032246506628448,2,5,2021-02-13,2050.0
Rajahmundry APMC,Paddy,2021-02-06,0.5,1868.0,1868.0,1868.0,1868.0,1868.0,1868.0,1868.0,0.0,0.0,0.0,0.0,1.0,1.0,2,5,2021-02-13,1863.0
Rajahmundry APMC,Swarna Masuri (New),2021-02-06,0.5,1888.0,1888.0,1888.0,1888.0,1888.0,1888.0,1888.0,0.0,0.0,0.0,0.0,1.0,1.0,2,5,2021-02-13,1888.0
Banaganapalli APMC,Sona Mahsuri,2021-02-07,1.0,1900.0,2100.0,2000.0,2000.0,2000.0,2000.0,1993.571428571429,0.0,12.774459408789022,0.0,0.0,1.0,1.0032246506628448,2,6,2021-02-14,2050.0
Rajahmundry APMC,Paddy,2021-02-07,0.5,1868.0,1868.0,1868.0,1868.0,1868.0,1868.0,1868.0,0.0,0.0,0.0,0.0,1.0,1.0,2,6,2021-02-14,1863.0
Rajahmundry APMC,Swarna Masuri (New),2021-02-07,0.5,1888.0,1888.0,1888.0,1888.0,1888.0,1888.0,1888.0,0.0,0.0,0.0,0.0,1.0,1.0,2,6,2021-02-14,1888.0
Banaganapalli APMC,Sona Mahsuri,2021-02-08,1.0,1950.0,2100.0,2000.0,2000.0,2000.0,2000.0,1993.571428571429,0.0,12.774459408789022,0.0,0.0,1.0,1.0032246506628448,2,0,2021-02-15,2050.0
Rajahmundry APMC,Paddy,2021-02-08,0.5,1868.0,1868.0,1868.0,1868.0,1868.0,1868.0,1868.0,0.0,0.0,0.0,0.0,1.0,1.0,2,0,2021-02-15,1863.0
Rajahmundry APMC,Swarna Masuri (New),2021-02-08,0.5,1888.0,1888.0,1888.0,1888.0,1888.0,1888.0,1888.0,0.0,0.0,0.0,0.0,1.0,1.0,2,0,2021-02-15,1888.0
Rajahmundry APMC,Swarna Masuri (New),2021-02-09,0.5,1888.0,1888.0,1888.0,1888.0,1888.0,1888.0,1888.0,0.0,0.0,0.0,0.0,1.0,1.0,2,1,2021-02-19,1888.0
Banaganapalli APMC,Sona Mahsuri,2021-02-09,1.0,1950.0,2100.0,2000.0,2000.0,2000.0,2000.0,1995.7142857142856,0.0,10.894095588037697,0.0,0.0,1.0,1.0021474588403725,2,1,2021-02-16,2050.0
Rajahmundry APMC,Paddy,2021-02-09,0.5,1868.0,1868.0,1868.0,1868.0,1868.0,1868.0,1868.0,0.0,0.0,0.0,0.0,1.0,1.0,2,1,2021-02-19,1868.0
Banaganapalli APMC,Sona Mahsuri,2021-02-10,1.0,2000.0,2100.0,2050.0,2000.0,2000.0,2000.0,1997.857142857143,0.0,8.017837257371625,50.0,50.0,1.025,1.026099392205935,2,2,2021-02-17,2050.0
Banaganapalli APMC,Sona Mahsuri,2021-02-11,1.0,2000.0,2100.0,2050.0,2050.0,2000.0,2007.142857142857,2003.571428571429,18.898223650461368,13.363062095621205,0.0,50.0,1.0213523131672595,1.0231729055258467,2,3,2021-02-18,2100.0
Atmakur (Nandyal District) APMC,Sona Mahsuri,2021-02-12,0.01,1800.0,1800.0,1800.0,1800.0,1800.0,1800.0,1800.0,0.0,0.0,0.0,0.0,1.0,1.0,2,4,2021-02-19,1800.0
Banaganapalli APMC,Sona Mahsuri,2021-02-12,1.0,2000.0,2100.0,2050.0,2050.0,2000.0,2014.2857142857144,2007.142857142857,24.397501823713355,18.156825980064024,0.0,50.0,1.017730496453901,1.0213523131672595,2,4,2021-02-19,2100.0
Rajahmundry APMC,Paddy,2021-02-12,0.5,1863.0,1863.0,1863.0,1868.0,1868.0,1868.0,1868.0,0.0,0.0,-5.0,-5.0,0.997323340471092,0.997323340471092,2,4,2021-02-19,1868.0
Rajahmundry APMC,Swarna Masuri (New),2021-02-12,0.5,1888.0,1888.0,1888.0,1888.0,1888.0,1888.0,1888.0,0.0,0.0,0.0,0.0,1.0,1.0,2,4,2021-02-19,1888.0
Atmakur (Nandyal District) APMC,Sona Mahsuri,2021-02-13,0.01,1800.0,1800.0,1800.0,1800.0,1800.0,1800.0,1800.0,0.0,0.0,0.0,0.0,1.0,1.0,2,5,2021-02-20,1800.0
Banaganapalli APMC,Sona Mahsuri,2021-02-13,1.0,2000.0,2100.0,2050.0,2050.0,2000.0,2021.4285714285716,2010.7142857142856,26.726124191242494,21.290765681315943,0.0,50.0,1.0141342756183749,1.019538188277087,2,5,2021-02-20,2100.0
Rajahmundry APMC,Paddy,2021-02-13,0.5,1863.0,1863.0,1863.0,1863.0,1868.0,1867.2857142857144,1867.642857142857,1.8898223650461217,1.3363062095621172,0.0,-5.0,0.9977048427817304,0.9975140551497303,2,5,2021-02-20,1868.0
Rajahmundry APMC,Swarna Masuri (New),2021-02-13,0.5,1888.0,1888.0,1888.0,1888.0,1888.0,1888.0,1888.0,0.0,0.0,0.0,0.0,1.0,1.0,2,5,2021-02-20,1888.0
Atmakur (Nandyal District) APMC,Sona Mahsuri,2021-02-14,0.01,1800.0,1800.0,1800.0,1800.0,1800.0,1800.0,1800.0,0.0,0.0,0.0,0.0,1.0,1.0,2,6,2021-02-21,1800.0
Banaganapalli APMC,Sona Mahsuri,2021-02-14,1.0,2000.0,2100.0,2050.0,2050.0,2000.0,2028.571428571429,2014.2857142857144,26.726124191242494,23.44036154692469,0.0,50.0,1.01056338028169,1.017730496453901,2,6,2021-02-21,2100.0
Rajahmundry APMC,Paddy,2021-02-14,0.5,1863.0,1863.0,1863.0,1863.0,1868.0,1866.571428571429,1867.2857142857144,2.4397501823712795,1.8156825980063889,0.0,-5.0,0.99808663707332,0.9977048427817304,2,6,2021-02-21,1868.0
Rajahmundry APMC,Swarna Masuri (New),2021-02-14,0.5,1888.0,1888.0,1888.0,1888.0,1888.0,1888.0,1888.0,0.0,0.0,0.0,0.0,1.0,1.0,2,6,2021-02-21,1888.0
Rajahmundry APMC,Swarna Masuri (New),2021-02-15,0.5,1888.0,1888.0,1888.0,1888.0,1888.0,1888.0,1888.0,0.0,0.0,0.0,0.0,1.0,1.0,2,0,2021-02-22,1888.0
Rajahmundry APMC,Paddy,2021-02-15,0.5,1863.0,1863.0,1863.0,1863.0,1868.0,1865.857142857143,1866.9285714285716,2.6726124191241816,2.1290765681315613,0.0,-5.0,0.9984687236811882,0.9978957034089604,2,0,2021-02-22,1868.0
Banaganapalli APMC,Sona Mahsuri,2021-02-15,1.0,2000.0,2100.0,2050.0,2050.0,2000.0,2035.7142857142856,2017.857142857143,24.397501823713355,24.86225790494226,0.0,50.0,1.0070175438596491,1.015929203539823,2,0,2021-02-22,2100.0
Atmakur (Nandyal District) APMC,Sona Mahsuri,2021-02-15,0.01,1800.0,1800.0,1800.0,1800.0,1800.0,1800.0,1800.0,0.0,0.0,0.0,0.0,1.0,1.0,2,0,2021-02-22,1800.0
Atmakur (Nandyal District) APMC,Sona Mahsuri,2021-02-16,0.01,1800.0,1800.0,1800.0,1800.0,1800.0,1800.0,1800.0,0.0,0.0,0.0,0.0,1.0,1.0,2,1,2021-02-23,1800.0
Banaganapalli APMC,Sona Mahsuri,2021-02-16,1.0,2000.0,2100.0,2050.0,2050.0,2000.0,2042.857142857143,2021.4285714285716,18.898223650461368,25.67762955065468,0.0,50.0,1.0034965034965035,1.0141342756183749,2,1,2021-02-23,2100.0
Atmakur (Nandyal District) APMC,Sona Mahsuri,2021-02-17,0.01,1800.0,1800.0,1800.0,1800.0,1800.0,1800.0,1800.0,0.0,0.0,0.0,0.0,1.0,1.0,2,2,2021-02-24,1800.0
Banaganapalli APMC,Sona Mahsuri,2021-02-17,1.0,2000.0,2100.0,2050.0,2050.0,2050.0,2050.0,2025.0,0.0,25.94372608313841,0.0,0.0,1.0,1.0123456790123455,2,2,2021-02-24,2100.0
Atmakur (Nandyal District) APMC,Sona Mahsuri,2021-02-18,0.01,1800.0,1800.0,1800.0,1800.0,1800.0,1800.0,1800.0,0.0,0.0,0.0,0.0,1.0,1.0,2,3,2021-02-25,1800.0
Banaganapalli APMC,Sona Mahsuri,2021-02-18,1.0,2000.0,2200.0,2100.0,2050.0,2050.0,2050.0,2028.571428571429,0.0,25.677629550654625,50.0,50.0,1.024390243902439,1.0352112676056338,2,3,2021-02-25,2100.0
Atmakur (Nandyal District) APMC,Sona Mahsuri,2021-02-19,0.01,1800.0,1800.0,1800.0,1800.0,1800.0,1800.0,1800.0,0.0,0.0,0.0,0.0,1.0,1.0,2,4,2021-02-26,1800.0
Banaganapalli APMC,Sona Mahsuri,2021-02-19,1.0,2000.0,2200.0,2100.0,2100.0,2050.0,2057.1428571428573,2035.7142857142856,18.89822365046132,30.56249227510617,0.0,50.0,1.0208333333333333,1.031578947368421,2,4,2021-02-26,2100.0
Rajahmundry APMC,Paddy,2021-02-19,0.5,1868.0,1868.0,1868.0,1863.0,1868.0,1865.142857142857,1866.571428571429,2.6726124191241816,2.344036154692429,5.0,0.0,1.001531862745098,1.000765345170672,2,4,2021-02-26,1868.0
Rajahmundry APMC,Swarna Masuri (New),2021-02-19,0.5,1888.0,1888.0,1888.0,1888.0,1888.0,1888.0,1888.0,0.0,0.0,0.0,0.0,1.0,1.0,2,4,2021-02-26,1888.0
Rajahmundry APMC,Swarna Masuri (New),2021-02-20,0.5,1888.0,1888.0,1888.0,1888.0,1888.0,1888.0,1888.0,0.0,0.0,0.0,0.0,1.0,1.0,2,5,2021-02-27,1888.0
Rajahmundry APMC,Paddy,2021-02-20,0.5,1868.0,1868.0,1868.0,1868.0,1868.0,1865.142857142857,1866.571428571429,2.6726124191241816,2.344036154692429,0.0,0.0,1.001531862745098,1.000765345170672,2,5,2021-02-27,1868.0
Banaganapalli APMC,Sona Mahsuri,2021-02-20,1.0,2000.0,2200.0,2100.0,2100.0,2050.0,2064.285714285714,2042.857142857143,24.39750182371328,33.14967720658963,0.0,50.0,1.0173010380622838,1.027972027972028,2,5,2021-02-27,2100.0
Atmakur (Nandyal District) APMC,Sona Mahsuri,2021-02-20,0.01,1800.0,1800.0,1800.0,1800.0,1800.0,1800.0,1800.0,0.0,0.0,0.0,0.0,1.0,1.0,2,5,2021-02-27,1800.0
Atmakur (Nandyal District) APMC,Sona Mahsuri,2021-02-21,0.01,1800.0,1800.0,1800.0,1800.0,1800.0,1800.0,1800.0,0.0,0.0,0.0,0.0,1.0,1.0,2,6,2021-02-28,1800.0
Banaganapalli APMC,Sona Mahsuri,2021-02-21,1.0,2000.0,2150.0,2100.0,2100.0,2050.0,2071.428571428572,2050.0,26.726124191242448,33.96831102433771,0.0,50.0,1.013793103448276,1.024390243902439,2,6,2021-02-28,2100.0
Rajahmundry APMC,Paddy,2021-02-21,0.5,1868.0,1868.0,1868.0,1868.0,1868.0,1865.142857142857,1866.571428571429,2.6726124191241816,2.344036154692429,0.0,0.0,1.001531862745098,1.000765345170672,2,6,2021-02-28,1868.0
