market,variety,arrival_date,arrivals_mt,minimum_price,maximum_price,modal_price,lag_1,lag_7,rolling_mean_7,rolling_mean_14,rolling_std_7,rolling_std_14,price_change_1,price_change_7,price_vs_rolling_7,price_vs_rolling_14,month,day_of_week,target_modal_price
Rajahmundry APMC,Paddy,2021-02-04,0.5,1868.0,1868.0,1868.0,1868.0,1868.0,1868.0,1868.0,0.0,0.0,0.0,0.0,1.0,1.0,2,3,1868.0
Rajahmundry APMC,Swarna Masuri (New),2021-02-04,0.5,1888.0,1888.0,1888.0,1888.0,1888.0,1888.0,1888.0,0.0,0.0,0.0,0.0,1.0,1.0,2,3,1888.0
Atmakur (Nandyal District) APMC,Sona Mahsuri,2021-02-05,0.01,1800.0,1800.0,1800.0,1800.0,1800.0,1800.0,1800.0,0.0,0.0,0.0,0.0,1.0,1.0,2,4,1800.0
Banaganapalli APMC,Sona Mahsuri,2021-02-05,1.0,1900.0,2100.0,2000.0,2000.0,2000.0,2000.0,1993.5714285714287,0.0,12.774459408789022,0.0,0.0,1.0,1.0032246506628448,2,4,2000.0
Rajahmundry APMC,Paddy,2021-02-05,0.5,1868.0,1868.0,1868.0,1868.0,1868.0,1868.0,1868.0,0.0,0.0,0.0,0.0,1.0,1.0,2,4,1868.0
Rajahmundry APMC,Swarna Masuri (New),2021-02-05,0.5,1888.0,1888.0,1888.0,1888.0,1888.0,1888.0,1888.0,0.0,0.0,0.0,0.0,1.0,1.0,2,4,1888.0
Atmakur (Nandyal District) APMC,Sona Mahsuri,2021-02-06,0.01,1800.0,1800.0,1800.0,1800.0,1800.0,1800.0,1800.0,0.0,0.0,0.0,0.0,1.0,1.0,2,5,1800.0
Banaganapalli APMC,Sona Mahsuri,2021-02-06,1.0,1900.0,2100.0,2000.0,2000.0,2000.0,2000.0,1993.5714285714287,0.0,12.774459408789022,0.0,0.0,1.0,1.0032246506628448,2,5,2000.0
Rajahmundry APMC,Paddy,2021-02-06,0.5,1868.0,1868.0,1868.0,1868.0,1868.0,1868.0,1868.0,0.0,0.0,0.0,0.0,1.0,1.0,2,5,1868.0
Rajahmundry APMC,Swarna Masuri (New),2021-02-06,0.5,1888.0,1888.0,1888.0,1888.0,1888.0,1888.0,1888.0,0.0,0.0,0.0,0.0,1.0,1.0,2,5,1888.0
Banaganapalli APMC,Sona Mahsuri,2021-02-07,1.0,1900.0,2100.0,2000.0,2000.0,2000.0,2000.0,1993.5714285714287,0.0,12.774459408789022,0.0,0.0,1.0,1.0032246506628448,2,6,2000.0
Rajahmundry APMC,Paddy,2021-02-07,0.5,1868.0,1868.0,1868.0,1868.0,1868.0,1868.0,1868.0,0.0,0.0,0.0,0.0,1.0,1.0,2,6,1868.0
Rajahmundry APMC,Swarna Masuri (New),2021-02-07,0.5,1888.0,1888.0,1888.0,1888.0,1888.0,1888.0,1888.0,0.0,0.0,0.0,0.0,1.0,1.0,2,6,1888.0
Banaganapalli APMC,Sona Mahsuri,2021-02-08,1.0,1950.0,2100.0,2000.0,2000.0,2000.0,2000.0,1993.5714285714287,0.0,12.774459408789022,0.0,0.0,1.0,1.0032246506628448,2,0,2000.0
Rajahmundry APMC,Paddy,2021-02-08,0.5,1868.0,1868.0,1868.0,1868.0,1868.0,1868.0,1868.0,0.0,0.0,0.0,0.0,1.0,1.0,2,0,1868.0
Rajahmundry APMC,Swarna Masuri (New),2021-02-08,0.5,1888.0,1888.0,1888.0,1888.0,1888.0,1888.0,1888.0,0.0,0.0,0.0,0.0,1.0,1.0,2,0,1888.0
Banaganapalli APMC,Sona Mahsuri,2021-02-09,1.0,1950.0,2100.0,2000.0,2000.0,2000.0,2000.0,1995.7142857142858,0.0,10.894095588037697,0.0,0.0,1.0,1.0021474588403723,2,1,2050.0
Rajahmundry APMC,Paddy,2021-02-09,0.5,1868.0,1868.0,1868.0,1868.0,1868.0,1868.0,1868.0,0.0,0.0,0.0,0.0,1.0,1.0,2,1,1863.0
Rajahmundry APMC,Swarna Masuri (New),2021-02-09,0.5,1888.0,1888.0,1888.0,1888.0,1888.0,1888.0,1888.0,0.0,0.0,0.0,0.0,1.0,1.0,2,1,1888.0
Banaganapalli APMC,Sona Mahsuri,2021-02-10,1.0,2000.0,2100.0,2050.0,2000.0,2000.0,2000.0,1997.857142857143,0.0,8.017837257371625,50.0,50.0,1.025,1.026099392205935,2,2,2050.0
Banaganapalli APMC,Sona Mahsuri,2021-02-11,1.0,2000.0,2100.0,2050.0,2050.0,2000.0,2007.142857142857,2003.5714285714287,18.898223650461368,13.363062095621205,0.0,50.0,1.0213523131672597,1.0231729055258467,2,3,2050.0
Atmakur (Nandyal District) APMC,Sona Mahsuri,2021-02-12,0.01,1800.0,1800.0,1800.0,1800.0,1800.0,1800.0,1800.0,0.0,0.0,0.0,0.0,1.0,1.0,2,4,1800.0
Banaganapalli APMC,Sona Mahsuri,2021-02-12,1.0,2000.0,2100.0,2050.0,2050.0,2000.0,2014.2857142857142,2007.142857142857,24.397501823713355,18.156825980064024,0.0,50.0,1.0177304964539007,1.0213523131672597,2,4,2050.0
Rajahmundry APMC,Paddy,2021-02-12,0.5,1863.0,1863.0,1863.0,1868.0,1868.0,1868.0,1868.0,0.0,0.0,-5.0,-5.0,0.9973233404710921,0.9973233404710921,2,4,1863.0
Rajahmundry APMC,Swarna Masuri (New),2021-02-12,0.5,1888.0,1888.0,1888.0,1888.0,1888.0,1888.0,1888.0,0.0,0.0,0.0,0.0,1.0,1.0,2,4,1888.0
Atmakur (Nandyal District) APMC,Sona Mahsuri,2021-02-13,0.01,1800.0,1800.0,1800.0,1800.0,1800.0,1800.0,1800.0,0.0,0.0,0.0,0.0,1.0,1.0,2,5,1800.0
Banaganapalli APMC,Sona Mahsuri,2021-02-13,1.0,2000.0,2100.0,2050.0,2050.0,2000.0,2021.4285714285713,2010.7142857142858,26.726124191242498,21.290765681315943,0.0,50.0,1.0141342756183747,1.019538188277087,2,5,2050.0
Rajahmundry APMC,Paddy,2021-02-13,0.5,1863.0,1863.0,1863.0,1863.0,1868.0,1867.2857142857142,1867.642857142857,1.8898223650461219,1.3363062095621172,0.0,-5.0,0.9977048427817305,0.9975140551497303,2,5,1863.0
Rajahmundry APMC,Swarna Masuri (New),2021-02-13,0.5,1888.0,1888.0,1888.0,1888.0,1888.0,1888.0,1888.0,0.0,0.0,0.0,0.0,1.0,1.0,2,5,1888.0
Atmakur (Nandyal District) APMC,Sona Mahsuri,2021-02-14,0.01,1800.0,1800.0,1800.0,1800.0,1800.0,1800.0,1800.0,0.0,0.0,0.0,0.0,1.0,1.0,2,6,1800.0
Banaganapalli APMC,Sona Mahsuri,2021-02-14,1.0,2000.0,2100.0,2050.0,2050.0,2000.0,2028.5714285714287,2014.2857142857142,26.726124191242498,23.440361546924695,0.0,50.0,1.01056338028169,1.0177304964539007,2,6,2050.0
Rajahmundry APMC,Paddy,2021-02-14,0.5,1863.0,1863.0,1863.0,1863.0,1868.0,1866.5714285714287,1867.2857142857142,2.4397501823712795,1.8156825980063886,0.0,-5.0,0.99808663707332,0.9977048427817305,2,6,1863.0
Rajahmundry APMC,Swarna Masuri (New),2021-02-14,0.5,1888.0,1888.0,1888.0,1888.0,1888.0,1888.0,1888.0,0.0,0.0,0.0,0.0,1.0,1.0,2,6,1888.0
Atmakur (Nandyal District) APMC,Sona Mahsuri,2021-02-15,0.01,1800.0,1800.0,1800.0,1800.0,1800.0,1800.0,1800.0,0.0,0.0,0.0,0.0,1.0,1.0,2,0,1800.0
Banaganapalli APMC,Sona Mahsuri,2021-02-15,1.0,2000.0,2100.0,2050.0,2050.0,2000.0,2035.7142857142858,2017.857142857143,24.397501823713355,24.86225790494226,0.0,50.0,1.0070175438596491,1.015929203539823,2,0,2050.0
Rajahmundry APMC,Paddy,2021-02-15,0.5,1863.0,1863.0,1863.0,1863.0,1868.0,1865.857142857143,1866.9285714285713,2.6726124191241816,2.1290765681315613,0.0,-5.0,0.9984687236811882,0.9978957034089605,2,0,1868.0
Rajahmundry APMC,Swarna Masuri (New),2021-02-15,0.5,1888.0,1888.0,1888.0,1888.0,1888.0,1888.0,1888.0,0.0,0.0,0.0,0.0,1.0,1.0,2,0,1888.0
Atmakur (Nandyal District) APMC,Sona Mahsuri,2021-02-16,0.01,1800.0,1800.0,1800.0,1800.0,1800.0,1800.0,1800.0,0.0,0.0,0.0,0.0,1.0,1.0,2,1,1800.0
Banaganapalli APMC,Sona Mahsuri,2021-02-16,1.0,2000.0,2100.0,2050.0,2050.0,2000.0,2042.857142857143,2021.4285714285713,18.898223650461368,25.677629550654682,0.0,50.0,1.0034965034965035,1.0141342756183747,2,1,2050.0
Atmakur (Nandyal District) APMC,Sona Mahsuri,2021-02-17,0.01,1800.0,1800.0,1800.0,1800.0,1800.0,1800.0,1800.0,0.0,0.0,0.0,0.0,1.0,1.0,2,2,1800.0
Banaganapalli APMC,Sona Mahsuri,2021-02-17,1.0,2000.0,2100.0,2050.0,2050.0,2050.0,2050.0,2025.0,0.0,25.943726083138415,0.0,0.0,1.0,1.0123456790123457,2,2,2100.0
Atmakur (Nandyal District) APMC,Sona Mahsuri,2021-02-18,0.01,1800.0,1800.0,1800.0,1800.0,1800.0,1800.0,1800.0,0.0,0.0,0.0,0.0,1.0,1.0,2,3,1800.0
Banaganapalli APMC,Sona Mahsuri,2021-02-18,1.0,2000.0,2200.0,2100.0,2050.0,2050.0,2050.0,2028.5714285714287,0.0,25.677629550654622,50.0,50.0,1.024390243902439,1.0352112676056338,2,3,2100.0
Atmakur (Nandyal District) APMC,Sona Mahsuri,2021-02-19,0.01,1800.0,1800.0,1800.0,1800.0,1800.0,1800.0,1800.0,0.0,0.0,0.0,0.0,1.0,1.0,2,4,1800.0
Banaganapalli APMC,Sona Mahsuri,2021-02-19,1.0,2000.0,2200.0,2100.0,2100.0,2050.0,2057.1428571428573,2035.7142857142858,18.89822365046132,30.56249227510617,0.0,50.0,1.0208333333333333,1.031578947368421,2,4,2100.0
Rajahmundry APMC,Paddy,2021-02-19,0.5,1868.0,1868.0,1868.0,1863.0,1868.0,1865.142857142857,1866.5714285714287,2.6726124191241816,2.344036154692429,5.0,0.0,1.001531862745098,1.000765345170672,2,4,1868.0
Rajahmundry APMC,Swarna Masuri (New),2021-02-19,0.5,1888.0,1888.0,1888.0,1888.0,1888.0,1888.0,1888.0,0.0,0.0,0.0,0.0,1.0,1.0,2,4,1888.0
Atmakur (Nandyal District) APMC,Sona Mahsuri,2021-02-20,0.01,1800.0,1800.0,1800.0,1800.0,1800.0,1800.0,1800.0,0.0,0.0,0.0,0.0,1.0,1.0,2,5,1800.0
Banaganapalli APMC,Sona Mahsuri,2021-02-20,1.0,2000.0,2200.0,2100.0,2100.0,2050.0,2064.285714285714,2042.857142857143,24.397501823713277,33.14967720658963,0.0,50.0,1.0173010380622838,1.027972027972028,2,5,2100.0
Rajahmundry APMC,Paddy,2021-02-20,0.5,1868.0,1868.0,1868.0,1868.0,1868.0,1865.142857142857,1866.5714285714287,2.6726124191241816,2.344036154692429,0.0,0.0,1.001531862745098,1.000765345170672,2,5,1868.0
Rajahmundry APMC,Swarna Masuri (New),2021-02-20,0.5,1888.0,1888.0,1888.0,1888.0,1888.0,1888.0,1888.0,0.0,0.0,0.0,0.0,1.0,1.0,2,5,1888.0
Atmakur (Nandyal District) APMC,Sona Mahsuri,2021-02-21,0.01,1800.0,1800.0,1800.0,1800.0,1800.0,1800.0,1800.0,0.0,0.0,0.0,0.0,1.0,1.0,2,6,1800.0
Banaganapalli APMC,Sona Mahsuri,2021-02-21,1.0,2000.0,2150.0,2100.0,2100.0,2050.0,2071.4285714285716,2050.0,26.726124191242448,33.96831102433771,0.0,50.0,1.013793103448276,1.024390243902439,2,6,2100.0
Rajahmundry APMC,Paddy,2021-02-21,0.5,1868.0,1868.0,1868.0,1868.0,1868.0,1865.142857142857,1866.5714285714287,2.6726124191241816,2.344036154692429,0.0,0.0,1.001531862745098,1.000765345170672,2,6,1868.0
Rajahmundry APMC,Swarna Masuri (New),2021-02-21,0.5,1888.0,1888.0,1888.0,1888.0,1888.0,1888.0,1888.0,0.0,0.0,0.0,0.0,1.0,1.0,2,6,1888.0
Atmakur (Nandyal District) APMC,Sona Mahsuri,2021-02-22,0.01,1800.0,1800.0,1800.0,1800.0,1800.0,1800.0,1800.0,0.0,0.0,0.0,0.0,1.0,1.0,2,0,1800.0
Banaganapalli APMC,Sona Mahsuri,2021-02-22,1.0,2000.0,2150.0,2100.0,2100.0,2050.0,2078.5714285714284,2057.1428571428573,26.72612419124258,33.149677206589644,0.0,50.0,1.0103092783505154,1.0208333333333333,2,0,2100.0
Rajahmundry APMC,Paddy,2021-02-22,0.5,1868.0,1868.0,1868.0,1868.0,1863.0,1865.142857142857,1866.5714285714287,2.6726124191241816,2.344036154692429,0.0,5.0,1.001531862745098,1.000765345170672,2,0,1868.0
Rajahmundry APMC,Swarna Masuri (New),2021-02-22,0.5,1888.0,1888.0,1888.0,1888.0,1888.0,1888.0,1888.0,0.0,0.0,0.0,0.0,1.0,1.0,2,0,1888.0
Atmakur (Nandyal District) APMC,Sona Mahsuri,2021-02-23,0.01,1800.0,1800.0,1800.0,1800.0,1800.0,1800.0,1800.0,0.0,0.0,0.0,0.0,1.0,1.0,2,1,1800.0
Banaganapalli APMC,Sona Mahsuri,2021-02-23,1.0,2000.0,2150.0,2100.0,2100.0,2050.0,2085.714285714286,2064.285714285714,24.397501823713707,30.562492275106198,0.0,50.0,1.0068493150684932,1.0173010380622838,2,1,2100.0
